COD_ETU;Note : TLMI4604;RÃ©sultat : TLMI4604;Session : TLMI4604;AnnÃ©e : TLMI4604;Filière;Année;Module;Semestre
19010832;10,917;V  ;2;2020;MIP;2020;TLMI3004;S3
19010833;;;1;2020;MIP;2020;TLMI3004;S3
19010834;;;1;2020;MIP;2020;TLMI3004;S3
19010835;;;1;2020;MIP;2020;TLMI3004;S3
19010836;;;1;2020;MIP;2020;TLMI3004;S3
19010837;;;1;2020;MIP;2020;TLMI3004;S3
19010838;;;1;2020;MIP;2020;TLMI3004;S3
19010909;;;1;2020;MIP;2020;TLMI3004;S3
19010920;;;1;2020;MIP;2020;TLMI3004;S3
19010936;;;1;2020;MIP;2020;TLMI3004;S3
19010944;;;1;2020;MIP;2020;TLMI3004;S3
19010945;;;1;2020;MIP;2020;TLMI3004;S3
19010946;9;NV ;2;2020;MIP;2020;TLMI3004;S3
19010947;;;1;2020;MIP;2020;TLMI3004;S3
19010948;;;1;2020;MIP;2020;TLMI3004;S3
19010949;;;1;2020;MIP;2020;TLMI3004;S3
19010956;;;1;2020;MIP;2020;TLMI3004;S3
19010970;;;1;2020;MIP;2020;TLMI3004;S3
19010971;;;1;2020;MIP;2020;TLMI3004;S3
19010973;;;1;2020;MIP;2020;TLMI3004;S3
19010975;11,667;V  ;2;2020;MIP;2020;TLMI3004;S3
19010977;13,833;V  ;2;2020;MIP;2020;TLMI3004;S3
19011089;;;1;2020;MIP;2020;TLMI3004;S3
19011106;;;1;2020;MIP;2020;TLMI3004;S3
19011163;7,417;NV ;2;2020;MIP;2020;TLMI3004;S3
19011194;13,917;V  ;2;2020;MIP;2020;TLMI3004;S3
19011220;;;1;2020;MIP;2020;TLMI3004;S3
19011234;10,667;V  ;2;2020;MIP;2020;TLMI3004;S3
19011236;;;1;2020;MIP;2020;TLMI3004;S3
19011480;;;1;2020;MIP;2020;TLMI3004;S3
19011788;;;1;2020;MIP;2020;TLMI3004;S3
19011807;;;1;2020;MIP;2020;TLMI3004;S3
19011809;;;1;2020;MIP;2020;TLMI3004;S3
19011810;;;1;2020;MIP;2020;TLMI3004;S3
19011926;;;1;2020;MIP;2020;TLMI3004;S3
19012036;;;1;2020;MIP;2020;TLMI3004;S3
19012279;;;1;2020;MIP;2020;TLMI3004;S3
19012486;10.8;V  ;2;2020;MIP;2020;TLMI3004;S3
19012582;;;1;2020;MIP;2020;TLMI3004;S3
20011561;;;1;2020;MIP;2020;TLMI3004;S3
16000386;0;NRA;1;2020;MIP;2020;TLMI3204;S3
16000603;7;NV ;2;2020;MIP;2020;TLMI3204;S3
16000636;10;V  ;2;2020;MIP;2020;TLMI3204;S3
16000831;16;V  ;1;2020;MIP;2020;TLMI3204;S3
