COD_ETU;Note : TLMP3504;Résultat : TLMP3504;Session : TLMP3504;Année : TLMP3504;Filière;Année;Module;Semestre
18002631;11.6;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002633;13.9;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002642;11188;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002646;13962;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002648;12038;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002651;;;;;MIPC;2019;TLMP3504;S3
18002661;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
18002667;14738;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002668;14.5;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002672;15.8;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002675;;;;;MIPC;2019;TLMP3504;S3
18002678;;;;;MIPC;2019;TLMP3504;S3
18002680;9.5;NV ;2;2019;MIPC;2019;TLMP3504;S3
18002687;12438;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002689;;;;;MIPC;2019;TLMP3504;S3
18002691;10926;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002694;12676;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002696;;;;;MIPC;2019;TLMP3504;S3
18002698;11262;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002703;11.5;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002705;;;;;MIPC;2019;TLMP3504;S3
18002708;13026;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002709;12812;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002711;13988;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002712;;;;;MIPC;2019;TLMP3504;S3
18002715;14026;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002814;;;;;MIPC;2019;TLMP3504;S3
18002883;11262;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002890;11426;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002899;10;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002907;2.5;NRA;1;2019;MIPC;2019;TLMP3504;S3
18002929;8;NV ;2;2019;MIPC;2019;TLMP3504;S3
18002950;14838;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002953;9526;AC ;2;2019;MIPC;2019;TLMP3504;S3
18002960;12376;V  ;1;2019;MIPC;2019;TLMP3504;S3
18002965;0;NRA;1;2019;MIPC;2019;TLMP3504;S3
18003037;10;V  ;2;2019;MIPC;2019;TLMP3504;S3
18003053;;;;;MIPC;2019;TLMP3504;S3
18003076;;;;;MIPC;2019;TLMP3504;S3
18003083;;;;;MIPC;2019;TLMP3504;S3
18003100;10838;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003107;;;;;MIPC;2019;TLMP3504;S3
18003111;;;;;MIPC;2019;TLMP3504;S3
18003156;17288;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003162;8.5;NV ;2;2019;MIPC;2019;TLMP3504;S3
18003174;14288;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003186;12526;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003195;11.2;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003216;10562;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003236;11226;V  ;1;2019;MIPC;2019;TLMP3504;S3
18003245;;;;;MIPC;2019;TLMP3504;S3
