COD_ETU,Note : TLMI2104,Résultat : TLMI2104,Session : TLMI2104,Année : TLMI2104,Note : TLMI2204,Résultat : TLMI2204,Session : TLMI2204,Année : TLMI2204,Note : TLMI2304,Résultat : TLMI2304,Session : TLMI2304,Année : TLMI2304,Note : TLMI2404,Résultat : TLMI2404,Session : TLMI2404,Année : TLMI2404,Note : TLMI2504,Résultat : TLMI2504,Session : TLMI2504,Année : TLMI2504,Note : TLMI2604,Résultat : TLMI2604,Session : TLMI2604,Année : TLMI2604,Note : TLMI2004,Résultat : TLMI2004,Session : TLMI2004,Année : TLMI2004,Note : TLMI1104,Résultat : TLMI1104,Session : TLMI1104,Année : TLMI1104,Note : TLMI1204,Résultat : TLMI1204,Session : TLMI1204,Année : TLMI1204,Note : TLMI1304,Résultat : TLMI1304,Session : TLMI1304,Année : TLMI1304,Note : TLMI1404,Résultat : TLMI1404,Session : TLMI1404,Année : TLMI1404,Note : TLMI1504,Résultat : TLMI1504,Session : TLMI1504,Année : TLMI1504,Note : TLMI1604,Résultat : TLMI1604,Session : TLMI1604,Année : TLMI1604,Note : TLMI1004,Résultat : TLMI1004,Session : TLMI1004,Année : TLMI1004
18003211,13.3,V,1,2019,7,AC,2,2019,12,V,1,2019,12.5,V,1,2019,10,V,2,2019,10.5,V,1,2018,10883,V,2,2019,7,AC,2,2019,10,V,1,2018,8.2,AC,2,2019,10,V,2,2019,14.5,V,1,2018,12,V,1,2018,10283,V,2,2019
18003719,17.15,V,1,2018,10.5,V,1,2018,16,V,1,2019,11.7,V,1,2018,13525,V,1,2018,13.5,V,1,2018,13729,V,1,2019,10,V,2,2018,11.25,V,1,2018,10,V,2,2018,10.4,V,1,2018,10.75,V,1,2018,15,V,1,2018,11233,V,2,2018
18003890,12.8,V,1,2019,10,V,1,2019,15,V,1,2019,14.5,V,1,2019,9,AC,2,2019,10,V,1,2018,11883,V,2,2019,6.6,NV,2,2019,10,V,1,2018,.6,NRA,1,2019,15.3,V,1,2018,12,V,1,2018,14,V,1,2018,9.75,NV,2,2019
18003909,10475,V,1,2018,10,V,2,2018,13,V,1,2019,13,V,1,2019,8,AC,2,2019,11.5,V,1,2018,10996,V,2,2019,9.25,AC,2,2019,9.5,AC,2,2019,10.8,V,1,2019,8,AC,2,2019,10.5,V,1,2018,12,V,1,2018,10008,V,2,2019
18003921,10,V,2,2018,4,NRA,1,2019,10,V,2,2019,12,V,1,2019,10,V,2,2019,11.5,V,1,2018,10583,V,2,2019,8.95,AC,2,2019,12.25,V,1,2018,10,V,2,2019,11.9,V,1,2018,14.5,V,1,2018,12,V,1,2018,11.6,V,2,2019
18003956,10,V,2,2019,11,V,1,2019,13,V,1,2019,11,V,1,2019,13.5,V,1,2019,13.5,V,1,2018,12,V,2,2019,8.1,AC,2,2019,10,V,2,2018,10,V,2,2019,15.85,V,1,2018,10.75,V,1,2018,14,V,1,2018,11.45,V,2,2019
18004287,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,11.15,V,1,2018,12.5,V,1,2018,11,V,1,2018,11,V,1,2018,12,V,1,2018,13.25,V,1,2018,11817,V,1,2018
18004291,14.4,V,1,2019,10,V,1,2019,16,V,1,2019,16,V,1,2019,10,V,2,2019,14,V,1,2018,13.4,V,2,2019,15,V,1,2019,10125,V,1,2019,10,V,1,2019,10.2,V,1,2019,10.8,V,1,2019,14875,V,1,2018,11833,V,1,2019
18004337,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,14.5,V,1,2018,2417,NV,2,2019,10.15,V,1,2018,0,NRA,1,2019,0,NRA,1,2019,10,V,2,2018,12,V,1,2018,13,V,1,2018,7525,NV,2,2019
18004367,10,V,2,2019,10,V,2,2019,13,V,1,2019,10,V,1,2019,8.6,AC,2,2019,10,V,2,2018,10267,V,2,2019,7.6,AC,2,2019,11.25,V,1,2018,7,AC,2,2019,11.1,V,1,2018,13,V,1,2018,13,V,1,2018,10492,V,2,2019
18004376,0,NV,2,2019,10,V,1,2018,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,11.5,V,1,2018,3583,NV,2,2019,1.5,NRA,1,2019,3.5,NRA,1,2019,.4,NRA,1,2019,0,NRA,1,2019,.8,NRA,1,2019,14375,V,1,2018,3429,NV,2,2019
18004424,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,11.5,V,1,2018,1917,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,16,V,1,2018,2667,NV,2,2019
18004433,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NV,2,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NRA,1,2019,0,NV,2,2019
18004480,10,V,2,2018,7,AC,2,2019,17,V,1,2019,10.2,V,1,2018,7.5,AC,2,2019,10.5,V,1,2018,10367,V,2,2019,6.5,NV,2,2019,8.5,NV,2,2019,7.5,NV,2,2019,12.2,V,1,2019,11.8,V,1,2019,12125,V,1,2018,9771,NV,2,2019
18004557,14.5,V,1,2019,10,V,1,2019,16,V,1,2019,13.5,V,1,2019,15,V,1,2019,12.5,V,1,2018,13583,V,1,2019,7.3,NV,2,2019,8,NV,2,2019,7.5,NV,2,2019,9,NV,2,2019,9,NV,2,2019,12,V,1,2018,8.8,NV,2,2019
18004807,10,V,2,2018,10,V,2,2018,9,AC,2,2019,10,V,2,2018,12,V,1,2019,13,V,1,2018,10667,V,2,2019,10,V,2,2018,10,V,1,2018,11,V,1,2018,12.3,V,1,2018,16.25,V,1,2018,14,V,1,2018,12258,V,2,2018
18004840,10,V,2,2018,0,NRA,1,2019,0,NV,2,2019,10.2,V,1,2018,0,NV,2,2019,14,V,1,2018,5.7,NV,2,2019,0,NRA,1,2019,11.25,V,1,2018,10,V,1,2018,0,NRA,1,2019,14,V,1,2018,16,V,1,2018,8542,NV,2,2019
18004860,10.15,V,1,2018,10,V,1,2019,10,V,1,2019,10,V,2,2018,10,V,2,2019,15,V,1,2018,10858,V,2,2019,10,V,2,2018,11.75,V,1,2018,12,V,1,2019,12.9,V,1,2018,10.1,V,1,2019,12,V,1,2018,11458,V,1,2019
