"COD_ETU","Note : TLGE3104","Résultat : TLGE3104","Session : TLGE3104","Année : TLGE3104","Note : TLGE3204","Résultat : TLGE3204","Session : TLGE3204","Année : TLGE3204","Note : TLGE3304","Résultat : TLGE3304","Session : TLGE3304","Année : TLGE3304","Note : TLGE3404","Résultat : TLGE3404","Session : TLGE3404","Année : TLGE3404","Note : TLGE3504","Résultat : TLGE3504","Session : TLGE3504","Année : TLGE3504","Note : TLGE3604","Résultat : TLGE3604","Session : TLGE3604","Année : TLGE3604","Note : TLGE3004","Résultat : TLGE3004","Session : TLGE3004","Année : TLGE3004","Note : TLGE4104","Résultat : TLGE4104","Session : TLGE4104","Année : TLGE4104","Note : TLGE4204","Résultat : TLGE4204","Session : TLGE4204","Année : TLGE4204","Note : TLGE4304","Résultat : TLGE4304","Session : TLGE4304","Année : TLGE4304","Note : TLGE4404","Résultat : TLGE4404","Session : TLGE4404","Année : TLGE4404","Note : TLGE4504","Résultat : TLGE4504","Session : TLGE4504","Année : TLGE4504","Note : TLGE4604","Résultat : TLGE4604","Session : TLGE4604","Année : TLGE4604","Note : TLGE4004","Résultat : TLGE4004","Session : TLGE4004","Année : TLGE4004","Note : TLMP140C","Résultat : TLMP140C","Session : TLMP140C","Année : TLMP140C","Note : TLMP240C","Résultat : TLMP240C","Session : TLMP240C","Année : TLMP240C"
"18008916","7","AC","2","2020","7","AC","2","2020","10","V","2","2020","12","V","1","2020","10","V","2","2020","16.5","V","1","2019","10,417","V","2","2020","7","AC","2","2019","13","V","1","2019","11","V","1","2019","13","V","1","2019","10","V","2","2019","10","V","1","2019","10,667","V","2","2019","","","","","","","",""
"18008918","1","NV","2","2020","7","NV","2","2020","7","NV","2","2020","15.7","V","1","2020","10,125","V","1","2019","12.5","V","1","2019","8,888","NV","2","2020","6.15","NV","2","2020","4.8","NV","2","2020","5","NV","2","2020","5","NV","2","2020","10","V","2","2019",".25","NV","2","2020","5.2","NV","2","2020","","","","","","","",""
"18008920","","","","","0","NRA","1","2020","","","","","0","NRA","1","2020","","","","","","","","","","","1","2020","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"18008922","0","NRA","1","2020","0","NRA","1","2020","","","","","0","NRA","1","2020","0","NRA","1","2020","12.5","V","1","2019","","","1","2020","","","","","0","NRA","1","2020","","","","","","","","","0","NRA","1","2020","","","","","","","1","2020","","","","","","","",""
"18008927","10.6","V","1","2019","10.24","V","1","2020","12","V","1","2020","11.6","V","1","2019","10.5","V","1","2020","13.5","V","1","2019","11,407","V","1","2020","13.9","V","1","2020","10","V","2","2020","16","V","1","2019","15.5","V","1","2020","15","V","1","2019","10","V","1","2019","13.4","V","2","2020","","","","","","","",""
"18008932","10","V","2","2019","10","V","2","2020","10","V","2","2020","10","V","2","2019","11.5","V","1","2020","14","V","1","2019","10,917","V","2","2020","15,625","V","1","2019","10.1","V","1","2020","14.5","V","1","2019","16","V","1","2020","10","V","2","2019","7","AC","2","2020","12,204","V","2","2020","","","","","","","",""
"18008933","10","V","2","2019","8.49","AC","2","2020","12.5","V","1","2020","10.2","V","1","2019","10","V","1","2020","14","V","1","2019","10,865","V","2","2020","11.95","V","1","2019","7","AC","2","2020","10","V","1","2019","11","V","1","2019","13","V","1","2019","7","AC","2","2020","9,992","AC","2","2020","","","","","","","",""
"18008939","10","V","2","2019","10","V","2","2020","14","V","1","2020","10","V","2","2019","10.5","V","1","2020","17.5","V","1","2020","12","V","2","2020","15.4","V","1","2019","18","V","1","2019","10","V","1","2019","11","V","1","2019","10","V","1","2019","16","V","1","2019","13.4","V","1","2019","","","","","","","",""
"18008941","","","","","","","","","","","","","13","V","1","2020","","","","","6.5","NV","2","2020","","","1","2020","","","","","","","","","","","","","0","NRA","1","2020","","","","","2","NV","2","2020","","","1","2020","","","","","","","",""
"18008943","20","V","1","2020","","","","","","","","","12.8","V","1","2020","10","V","2","2020","10.5","V","1","2019","","","1","2020","5.1","NV","2","2020","5","NV","2","2020","12","V","1","2020","17","V","1","2020","10","V","1","2019","1.5","NV","2","2020","8,433","NV","2","2020","","","","","","","",""
"18008947","16","V","1","2020","15.3","V","1","2020","10","V","2","2019","17.55","V","1","2020","11.5","V","1","2020","11.5","V","1","2019","13,642","V","1","2020","10.05","V","1","2020","14.05","V","1","2020","11","V","1","2020","10","V","2","2019","14","V","1","2019","9","AC","2","2020","11.35","V","2","2020","","","","","","","",""
"18008951","","","","","","","","","","","","","9.1","NV","2","2020","4","NV","2","2020","13","V","1","2019","","","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NRA","1","2020","0","NV","2","2020","","","","","","","",""
"18008964","","","","","10","V","2","2020","","","","","13.35","V","1","2020","10","V","1","2020","10","V","1","2019","","","1","2020","6.5","NV","2","2020","3.45","NV","2","2020","5","NV","2","2020","17","V","1","2020","2.5","NV","2","2020","1","NV","2","2020","5,908","NV","2","2020","","","","","","","",""
